ID,题型,分类,题目,GT
ECS011,单选,电商选品/规则化选品,"【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利33%/库存131/评分4.1；B 毛利31%/库存91/评分4.6；C 毛利36%/库存71/评分3.9；D 毛利32.5%/库存161/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",B
ECS012,单选,电商选品/规则化选品,"【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利31%/库存132/评分4.1；B 毛利25%/库存92/评分4.6；C 毛利35%/库存72/评分3.9；D 毛利28%/库存162/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",D
ECS013,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利33%/库存133/评分4.1；B 毛利28%/库存93/评分4.6；C 毛利36%/库存73/评分3.9；D 毛利29.5%/库存163/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",D
ECS014,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利31%/库存134/评分4.1；B 毛利31%/库存94/评分4.6；C 毛利35%/库存74/评分3.9；D 毛利31%/库存164/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",B
ECS015,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利33%/库存135/评分4.1；B 毛利25%/库存95/评分4.6；C 毛利36%/库存75/评分3.9；D 毛利32.5%/库存165/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",D
ECS016,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利31%/库存136/评分4.1；B 毛利28%/库存96/评分4.6；C 毛利35%/库存76/评分3.9；D 毛利28%/库存166/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",D
ECS017,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利33%/库存137/评分4.1；B 毛利31%/库存97/评分4.6；C 毛利36%/库存77/评分3.9；D 毛利29.5%/库存167/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",B
ECS018,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利31%/库存138/评分4.1；B 毛利25%/库存98/评分4.6；C 毛利35%/库存78/评分3.9；D 毛利31%/库存168/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",D
ECS019,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利33%/库存139/评分4.1；B 毛利28%/库存99/评分4.6；C 毛利36%/库存79/评分3.9；D 毛利32.5%/库存169/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",D
ECS020,单选,电商选品/规则化选品,"你要为直播间从候选池里选一个可排期商品。选品规则：毛利率 >=30%，库存 >=90，评分 >=4.2。候选：A 毛利31%/库存140/评分4.1；B 毛利31%/库存100/评分4.6；C 毛利35%/库存80/评分3.9；D 毛利28%/库存170/评分4.3。请按候选顺序选择第一个满足全部条件的 SKU。
A. SKU-A
B. SKU-B
C. SKU-C
D. SKU-D",B
ECS021,JSON,电商选品/质量风险识别,【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 615，退货率 7%，差评率 1%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""低"",""reason"":""退货和差评未超过阈值""}"
ECS022,JSON,电商选品/质量风险识别,【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 630，退货率 9%，差评率 2.5%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""低"",""reason"":""退货和差评未超过阈值""}"
ECS023,JSON,电商选品/质量风险识别,你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 645，退货率 11%，差评率 4%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""高"",""reason"":""退货或差评超过阈值""}"
ECS024,JSON,电商选品/质量风险识别,你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 660，退货率 5%，差评率 1%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""低"",""reason"":""退货和差评未超过阈值""}"
ECS025,JSON,电商选品/质量风险识别,你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 675，退货率 7%，差评率 2.5%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""低"",""reason"":""退货和差评未超过阈值""}"
ECS026,JSON,电商选品/质量风险识别,你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 690，退货率 9%，差评率 4%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""低"",""reason"":""退货和差评未超过阈值""}"
ECS027,JSON,电商选品/质量风险识别,你在做电商选品上架前的质量风险审查。候选商品近 7 日销量 705，退货率 11%，差评率 1%。风控规则：退货率 >10% 或差评率 >4% 时质量风险为“高”，否则为“低”。请输出 JSON，字段 risk_level 和 reason。,"{""risk_level"":""高"",""reason"":""退货或差评超过阈值""}"
ECS028,单选,电商选品/素材与商品联动,"【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在给下周素材投放排期。店铺规则：ROI>=2 且 CTR>=4% 且库存>=120 为继续投放；ROI>=1.5 且库存>=80 为优化后投放；否则暂停。某商品素材 CTR 2%，ROI 2.25，库存 124。请判断后台应标记的动作。
A. 继续投放
B. 优化后投放
C. 暂停
D. 无法判断",B
ECS029,单选,电商选品/素材与商品联动,"【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在给下周素材投放排期。店铺规则：ROI>=2 且 CTR>=4% 且库存>=120 为继续投放；ROI>=1.5 且库存>=80 为优化后投放；否则暂停。某商品素材 CTR 3%，ROI 2.6，库存 127。请判断后台应标记的动作。
A. 继续投放
B. 优化后投放
C. 暂停
D. 无法判断",B
ECS030,JSON,电商选品/跨应用商品投放种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把商品素材排期扩展成沙盒任务。跨系统摘录：商品中心显示 SKU-31 毛利率 34%；库存系统显示可售库存 62；投放后台显示该 SKU 素材 ROI 2.6、CTR 5.1%。店铺规则：投放表现好但库存 <80 时不得继续加投，应转补货/限量投放。请只输出 JSON，字段 sku、ad_decision、inventory_action、reason。,"{""sku"":""SKU-31"",""ad_decision"":""限量投放"",""inventory_action"":""补货"",""reason"":""库存不足""}"
ECS031,JSON,电商选品/跨应用选品审查种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把直播选品扩展成沙盒任务。跨系统摘录：商品中心显示 SKU-42 评分 4.7；库存系统显示库存 180；投放后台显示历史 ROI 1.1；评价系统显示差评集中在“尺码偏差”。规则：高库存高评分但 ROI 低且差评集中时，不进入主推，先做详情页/尺码优化。请只输出 JSON，字段 sku、selection_decision、optimization_focus、launch_lane。,"{""sku"":""SKU-42"",""selection_decision"":""暂不主推"",""optimization_focus"":""尺码说明"",""launch_lane"":""优化后复测""}"
ECS032,单选,电商选品/素材与商品联动,"你正在给下周素材投放排期。店铺规则：ROI>=2 且 CTR>=4% 且库存>=120 为继续投放；ROI>=1.5 且库存>=80 为优化后投放；否则暂停。某商品素材 CTR 2%，ROI 1.9，库存 136。请判断后台应标记的动作。
A. 继续投放
B. 优化后投放
C. 暂停
D. 无法判断",B
ECS033,单选,电商选品/素材与商品联动,"你正在给下周素材投放排期。店铺规则：ROI>=2 且 CTR>=4% 且库存>=120 为继续投放；ROI>=1.5 且库存>=80 为优化后投放；否则暂停。某商品素材 CTR 3%，ROI 2.25，库存 139。请判断后台应标记的动作。
A. 继续投放
B. 优化后投放
C. 暂停
D. 无法判断",B
ECS034,单选,电商选品/素材与商品联动,"你正在给下周素材投放排期。店铺规则：ROI>=2 且 CTR>=4% 且库存>=120 为继续投放；ROI>=1.5 且库存>=80 为优化后投放；否则暂停。某商品素材 CTR 4%，ROI 2.6，库存 142。请判断后台应标记的动作。
A. 继续投放
B. 优化后投放
C. 暂停
D. 无法判断",A
ECS035,单选,电商选品/素材与商品联动,"你正在给下周素材投放排期。店铺规则：ROI>=2 且 CTR>=4% 且库存>=120 为继续投放；ROI>=1.5 且库存>=80 为优化后投放；否则暂停。某商品素材 CTR 5%，ROI 1.2，库存 145。请判断后台应标记的动作。
A. 继续投放
B. 优化后投放
C. 暂停
D. 无法判断",C
ECK001,单选,电商客服/评价与工单分类,"【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：物流显示签收但用户说未收到
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",C
ECK002,JSON,电商客服/跨应用售后分类,【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在客服台处理一条售后会话。跨系统摘录：订单系统显示订单 O211 已发货未签收；物流系统显示干线延误 36 小时；客服消息为“已经三天没动了，麻烦催一下”。规则：物流延误未签收应创建物流催办，不归为质量问题。请只输出 JSON，字段 order_id、issue_type、work_order_type、reply_focus。,"{""order_id"":""O211"",""issue_type"":""物流延误"",""work_order_type"":""物流催办"",""reply_focus"":""同步物流进展""}"
ECK003,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：用户表示很好用并晒图
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",A
ECK004,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：咨询尺码偏大还是偏小
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",B
ECK005,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：投诉含监管、媒体曝光等敏感表述
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",E
ECK006,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：物流显示签收但用户说未收到
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",C
ECK007,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：衣服破洞并要求退款
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",D
ECK008,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：用户表示很好用并晒图
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",A
ECK009,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：咨询尺码偏大还是偏小
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",B
ECK010,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：投诉含监管、媒体曝光等敏感表述
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",E
ECK011,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：物流显示签收但用户说未收到
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",C
ECK012,单选,电商客服/评价与工单分类,"你是店铺售后客服 agent，正在处理今日新增评价和会话。请判断这条内容应归入哪类：衣服破洞并要求退款
A. 好评
B. 一般咨询
C. 物流问题
D. 质量问题
E. 涉敏投诉",D
ECK013,JSON,电商客服/售后动作选择,【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在售后工单系统里为用户选择处理动作。订单未付款，签收后 3 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""普通回复"",""priority"":""普通""}"
ECK014,JSON,电商客服/售后动作选择,【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在售后工单系统里为用户选择处理动作。订单已付款，签收后 4 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""生成退换货指引"",""priority"":""普通""}"
ECK015,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单未付款，签收后 5 天，用户反馈商品破损。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""创建质量工单"",""priority"":""高""}"
ECK016,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单已付款，签收后 6 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""生成退换货指引"",""priority"":""普通""}"
ECK017,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单未付款，签收后 7 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""普通回复"",""priority"":""普通""}"
ECK018,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单已付款，签收后 2 天，用户反馈商品破损。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""创建质量工单"",""priority"":""高""}"
ECK019,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单未付款，签收后 3 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""普通回复"",""priority"":""普通""}"
ECK020,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单已付款，签收后 4 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""生成退换货指引"",""priority"":""普通""}"
ECK021,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单未付款，签收后 5 天，用户反馈商品破损。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""创建质量工单"",""priority"":""高""}"
ECK022,JSON,电商客服/售后动作选择,你正在售后工单系统里为用户选择处理动作。订单已付款，签收后 6 天，用户咨询退换货流程。售后规则：质量问题创建质量工单；已付款且签收 7 天内生成退换货指引；否则普通回复。请输出 JSON，字段 action 和 priority。,"{""action"":""生成退换货指引"",""priority"":""普通""}"
ECK023,单选,电商客服/SLA判断,"【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：客服主管让你巡检售后工单 SLA。某工单承诺 72 小时内响应，当前已等待 48 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",B
ECK024,单选,电商客服/SLA判断,"【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：客服主管让你巡检售后工单 SLA。某工单承诺 24 小时内响应，当前已等待 58 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",A
ECK025,单选,电商客服/SLA判断,"客服主管让你巡检售后工单 SLA。某工单承诺 48 小时内响应，当前已等待 18 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",B
ECK026,单选,电商客服/SLA判断,"客服主管让你巡检售后工单 SLA。某工单承诺 72 小时内响应，当前已等待 28 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",B
ECK027,单选,电商客服/SLA判断,"客服主管让你巡检售后工单 SLA。某工单承诺 24 小时内响应，当前已等待 38 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",A
ECK028,单选,电商客服/SLA判断,"客服主管让你巡检售后工单 SLA。某工单承诺 48 小时内响应，当前已等待 48 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",B
ECK029,单选,电商客服/SLA判断,"客服主管让你巡检售后工单 SLA。某工单承诺 72 小时内响应，当前已等待 58 小时。请判断是否已经超 SLA，是否需要升级。
A. 已超 SLA，需要升级
B. 未超 SLA，继续跟进
C. 无需处理
D. 无法判断",B
ECK030,单选,电商客服/退款风控,"【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在处理自动退款审批。店铺规则：退款金额 <=100 元且非涉敏投诉可自动退款；涉敏或超额必须人工复核。当前申请退款金额 110 元，投诉类型为非涉敏。请判断应采取什么动作。
A. 自动退款
B. 人工复核
C. 拒绝用户
D. 公开展示评价",B
ECK031,单选,电商客服/退款风控,"【跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在处理自动退款审批。店铺规则：退款金额 <=100 元且非涉敏投诉可自动退款；涉敏或超额必须人工复核。当前申请退款金额 112 元，投诉类型为非涉敏。请判断应采取什么动作。
A. 自动退款
B. 人工复核
C. 拒绝用户
D. 公开展示评价",B
ECK032,JSON,电商客服/跨应用售后风控种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把售后退款审批扩展成沙盒任务。跨系统摘录：订单系统显示订单 O932 已签收 3 天；物流系统显示外包装破损；客服工单系统显示用户上传破损描述；评价后台尚未公开差评。规则：物流破损证据完整时创建物流赔付工单，不直接公开回复差评。请只输出 JSON，字段 order_id、work_order_type、public_reply_allowed、next_action。,"{""order_id"":""O932"",""work_order_type"":""物流赔付"",""public_reply_allowed"":false,""next_action"":""创建物流赔付工单""}"
ECK033,JSON,电商客服/跨应用投诉升级种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自订单系统、物流系统、客服工单系统和评价后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把涉敏投诉处理扩展成沙盒任务。跨系统摘录：评价后台新差评提到“监管投诉”；订单系统显示商品已退款；客服系统已有补偿方案；物流系统无异常。规则：涉监管投诉必须人工复核，并汇总现有处理状态。请只输出 JSON，字段 review_required、refund_status、logistics_issue、handoff_team。,"{""review_required"":true,""refund_status"":""已退款"",""logistics_issue"":false,""handoff_team"":""人工复核""}"
ECK034,单选,电商客服/退款风控,"你在处理自动退款审批。店铺规则：退款金额 <=100 元且非涉敏投诉可自动退款；涉敏或超额必须人工复核。当前申请退款金额 118 元，投诉类型为非涉敏。请判断应采取什么动作。
A. 自动退款
B. 人工复核
C. 拒绝用户
D. 公开展示评价",B
ECK035,单选,电商客服/退款风控,"你在处理自动退款审批。店铺规则：退款金额 <=100 元且非涉敏投诉可自动退款；涉敏或超额必须人工复核。当前申请退款金额 120 元，投诉类型为非涉敏。请判断应采取什么动作。
A. 自动退款
B. 人工复核
C. 拒绝用户
D. 公开展示评价",B
FIA001,数字,金融投资分析/组合指标计算,【跨应用结构化题】跨应用材料来自组合持仓系统、行情终端和公告/新闻库；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1080 万元，持仓 X 当前市值 120 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1111
FIA002,JSON,金融投资分析/跨应用持仓异动,【跨应用结构化题】跨应用材料来自组合持仓系统、行情终端和公告/新闻库；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在更新组合晨报。跨系统摘录：组合系统显示持仓 Z 权重 9.5%；行情终端显示 Z 昨日下跌 6.8%；公告库显示无公司公告；新闻库显示同业公司被监管问询。请只输出 JSON，字段 holding、weight、price_move、likely_risk_source。,"{""holding"":""Z"",""weight"":{""type"":""number"",""normalized_value"":0.095,""tolerance"":0.0001},""price_move"":{""type"":""number"",""normalized_value"":-0.068,""tolerance"":0.0001},""likely_risk_source"":""行业监管""}"
FIA003,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1240 万元，持仓 X 当前市值 160 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.129
FIA004,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1320 万元，持仓 X 当前市值 180 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1364
FIA005,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1400 万元，持仓 X 当前市值 200 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1429
FIA006,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1480 万元，持仓 X 当前市值 220 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1486
FIA007,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1560 万元，持仓 X 当前市值 240 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1538
FIA008,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1640 万元，持仓 X 当前市值 260 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1585
FIA009,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1720 万元，持仓 X 当前市值 280 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1628
FIA010,数字,金融投资分析/组合指标计算,你是买方组合分析助理，正在更新基金经理的持仓风险复盘表。组合总市值 1800 万元，持仓 X 当前市值 300 万元。请输出持仓 X 当前权重，小数形式保留 4 位。,0.1667
FIA011,数字,金融投资分析/收益率计算,【跨应用结构化题】跨应用材料来自组合持仓系统、行情终端和公告/新闻库；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在核对组合持仓收益率。持仓 Y 的建仓成本为 31 元，当前行情价为 28.21 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,-0.09
FIA012,数字,金融投资分析/收益率计算,【跨应用结构化题】跨应用材料来自组合持仓系统、行情终端和公告/新闻库；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在核对组合持仓收益率。持仓 Y 的建仓成本为 32 元，当前行情价为 31.04 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,-0.03
FIA013,数字,金融投资分析/收益率计算,你正在核对组合持仓收益率。持仓 Y 的建仓成本为 33 元，当前行情价为 33.99 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,0.03
FIA014,数字,金融投资分析/收益率计算,你正在核对组合持仓收益率。持仓 Y 的建仓成本为 34 元，当前行情价为 37.06 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,0.09
FIA015,数字,金融投资分析/收益率计算,你正在核对组合持仓收益率。持仓 Y 的建仓成本为 35 元，当前行情价为 29.75 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,-0.15
FIA016,数字,金融投资分析/收益率计算,你正在核对组合持仓收益率。持仓 Y 的建仓成本为 36 元，当前行情价为 32.76 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,-0.09
FIA017,数字,金融投资分析/收益率计算,你正在核对组合持仓收益率。持仓 Y 的建仓成本为 37 元，当前行情价为 35.89 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,-0.03
FIA018,数字,金融投资分析/收益率计算,你正在核对组合持仓收益率。持仓 Y 的建仓成本为 38 元，当前行情价为 39.14 元。请按 (当前价-成本价)/成本价 输出收益率，小数形式保留 4 位。,0.03
FIA019,单选,金融投资分析/风险归因,"【跨应用结构化题】跨应用材料来自组合持仓系统、行情终端和公告/新闻库；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：基金经理要求你在晨会上点名本期拖累组合最多的持仓。四只持仓对组合收益贡献为：Alpha -2.2pct，Beta -3.6pct，Gamma -2.2pct，Delta -1.8pct。请判断拖累最大的持仓。
A. Alpha
B. Beta
C. Gamma
D. Delta",B
